team,name,suspensionReason,suspensionDuration
Aston Villa,Jaden Philogene,,
Southampton,Ryan Fraser,,
West Ham United,Mohammed Kudus,,
team,name,suspensionReason,suspensionDuration
Valencia,Pepelu,,
team,name,suspensionReason,suspensionDuration
Milan,Theo Hernandez,,
Juventus,Paul Pogba,,
Lazio,Alessio Romagnoli,,
Lecce,Antonino Gallo,,
SS Monza 1912,A. Dario Gomez,,
team,name,suspensionReason,suspensionDuration
Bochum,Manuel Riemann,,
Bremen,Naby Keita,,
Wolfsburg,Patrick Wimmer,,
Wolfsburg,Maximilian Arnold,,
team,name,suspensionReason,suspensionDuration
Angers,Lilian Raolisoa,,
Le Havre,E. Youte Kinkoue,,
Monaco,Jordan Teze,,
Montpellier,Stefan Dzodic,,
Nice,Dante,,
team,name,suspensionReason,suspensionDuration
Alkmaar,David Moller Wolfe,,
FC Twente,Daan Rots,,
Breda,Saná Fernandes,,
Heracles,B. De Keersmaecker,,
Waalwijk,Aaron Meijers,,
Sparta,Mike Eerdhuijzen,,
team,name,suspensionReason,suspensionDuration
Alanyaspor,Jure Balkovec,,
Fenerbahce,Fred,,
Kayserispor,Aylton Boa Morte,,
team,name,suspensionReason,suspensionDuration
AIK,Alexander Milosevic,,
Djurgarden,August Priske,,
GAIS,William Milovanovic,,
IFK Goteborg,August Erlingmark,,
IFK Norrkoping,Jesper Ceesay,,
Kalmar FF,R.Pereira Sipiao,,
